ip,app,device,os,channel,click_time,attributed_time,is_attributed
37398,3,1,22,442,09/11/2017,01:55:44,0
114490,15,2,18,140,08/11/2017,02:53:10,0
59625,18,1,17,107,08/11/2017,01:18:22,0
213183,12,1,28,178,08/11/2017,05:11:56,0
80234,62,1,10,21,07/11/2017,11:32:36,0
3964,12,1,8,178,08/11/2017,06:07:26,0
111122,14,1,13,349,08/11/2017,05:33:41,0
95820,14,1,13,379,08/11/2017,05:35:04,0
46669,21,1,36,232,09/11/2017,06:44:39,0
97953,64,1,39,459,07/11/2017,04:02:37,0
87460,18,1,28,107,08/11/2017,06:52:52,0
71687,64,1,20,459,07/11/2017,06:23:09,0
77048,12,1,19,178,07/11/2017,22:08:01,0
61293,3,1,15,173,08/11/2017,01:23:26,0
85347,3,1,35,489,08/11/2017,06:24:14,0
73516,21,1,41,232,09/11/2017,01:29:06,0
5359,23,1,22,153,08/11/2017,21:06:29,0
18154,15,1,19,3,07/11/2017,12:34:33,0
26208,32,1,3,376,07/11/2017,07:19:26,0
48170,9,1,30,127,09/11/2017,14:13:07,0
17030,2,1,19,477,08/11/2017,07:02:22,0
200788,2,1,13,236,09/11/2017,03:18:09,0
80398,25,1,22,259,08/11/2017,13:34:23,0
68651,37,1,17,21,08/11/2017,07:21:50,0
48495,9,1,13,466,08/11/2017,17:18:36,0
144738,1,1,19,13,08/11/2017,02:55:37,0
48212,3,1,37,280,09/11/2017,08:22:38,0
74045,3,1,19,280,09/11/2017,02:55:33,0
92735,12,1,16,497,09/11/2017,14:29:33,0
92446,18,1,40,107,07/11/2017,03:20:40,0
85506,13,1,9,477,09/11/2017,11:09:57,0
78736,9,1,15,234,09/11/2017,04:05:35,0
114543,9,1,19,127,09/11/2017,07:06:28,0
122231,18,1,19,107,08/11/2017,01:06:12,0
121505,24,1,19,105,08/11/2017,12:07:34,0
113321,12,1,13,178,09/11/2017,06:41:53,0
47231,14,1,13,134,07/11/2017,09:43:08,0
41437,15,1,19,386,07/11/2017,04:42:54,0
159321,11,1,10,319,07/11/2017,08:19:37,0
2164,13,1,8,477,08/11/2017,02:57:50,0
48170,2,1,2,237,07/11/2017,21:19:50,0
64531,23,1,37,153,07/11/2017,03:33:50,0
60363,2,1,22,452,08/11/2017,04:14:03,0
76571,15,1,13,315,07/11/2017,07:31:05,0
53004,18,1,13,121,09/11/2017,00:23:17,0
10065,15,1,19,379,09/11/2017,06:43:54,0
14737,2,1,19,477,08/11/2017,16:32:49,0
35058,2,1,32,435,09/11/2017,14:50:50,0
146047,2,1,18,477,07/11/2017,13:35:44,0
37180,2,1,22,477,09/11/2017,14:09:31,0
69645,18,1,22,134,09/11/2017,00:23:26,0
73200,15,1,17,430,08/11/2017,08:07:02,0
114636,12,1,13,265,07/11/2017,07:37:39,0
35923,15,1,19,245,08/11/2017,15:47:21,0
103136,9,1,19,334,08/11/2017,09:23:42,0
93325,2,1,19,205,09/11/2017,10:48:53,0
57723,3,1,13,280,09/11/2017,04:15:23,0
99809,18,1,19,107,07/11/2017,09:42:35,0
196145,15,1,17,265,07/11/2017,00:12:13,0
37788,3,1,30,480,09/11/2017,07:09:28,0
34110,12,1,28,178,09/11/2017,10:54:13,0
52052,2,1,19,205,08/11/2017,09:10:00,0
92029,3,1,8,280,07/11/2017,22:43:12,0
44458,3,2,2,153,08/11/2017,05:38:52,0
37948,15,1,13,130,09/11/2017,08:50:20,0
108913,22,1,20,116,07/11/2017,01:10:22,0
119350,12,1,19,259,07/11/2017,12:27:52,0
7599,2,1,58,219,07/11/2017,13:05:30,0
137052,3,1,22,280,09/11/2017,04:04:42,0
5178,15,2,16,245,08/11/2017,02:18:42,0
101371,14,1,19,442,07/11/2017,23:10:44,0
73487,12,1,19,259,08/11/2017,15:26:04,0
146124,2,1,22,364,07/11/2017,09:03:14,0
104838,3,1,8,280,08/11/2017,03:27:47,0
88168,9,1,15,134,07/11/2017,00:49:35,0
25114,3,1,6,205,08/11/2017,02:35:17,0
123681,19,0,24,347,07/11/2017,12:27:49,0
233621,11,1,13,330,08/11/2017,02:50:27,0
272618,15,1,13,245,08/11/2017,11:37:56,0
118367,125,0,866,341,09/11/2017,15:03:46,0
37515,12,1,13,178,08/11/2017,13:17:58,0
92904,2,1,13,477,07/11/2017,05:15:00,0
348312,14,2,25,467,08/11/2017,23:13:06,0
176272,6,1,17,125,08/11/2017,06:16:51,0
9734,2,1,41,477,08/11/2017,08:45:45,0
63762,26,1,13,121,07/11/2017,14:43:38,0
89458,18,3543,748,107,08/11/2017,00:55:21,0
4784,15,1,4,315,08/11/2017,07:46:43,0
26840,15,1,10,140,09/11/2017,03:57:38,0
215621,14,1,25,489,09/11/2017,10:02:28,0
22385,9,1,18,334,06/11/2017,19:23:48,0
95498,12,1,19,140,07/11/2017,00:54:52,0
47490,15,1,10,278,08/11/2017,05:52:49,0
46570,3,1,17,489,09/11/2017,03:46:06,0
46652,1,1,13,134,07/11/2017,05:06:21,0
59233,3,1,13,379,08/11/2017,14:33:08,0
107155,2,1,13,122,09/11/2017,12:21:14,0
11965,15,1,18,245,06/11/2017,18:48:58,0
72105,3,1,13,173,07/11/2017,01:21:42,0
67461,3,1,12,480,09/11/2017,05:50:30,0
55690,12,2,19,259,07/11/2017,15:24:44,0
1616,12,1,19,328,09/11/2017,13:39:33,0
110928,6,1,13,459,08/11/2017,22:22:25,0
154226,18,1,19,134,07/11/2017,03:47:08,0
138561,3,1,8,211,08/11/2017,07:57:21,0
156975,15,1,22,245,07/11/2017,06:22:50,0
82100,3,1,22,19,09/11/2017,05:06:55,0
155846,18,1,27,134,07/11/2017,14:18:09,0
5574,11,1,22,325,09/11/2017,12:47:09,0
105290,12,1,18,265,07/11/2017,14:31:36,0
96099,18,1,13,107,07/11/2017,15:03:36,0
49407,12,1,19,328,08/11/2017,11:17:19,0
114904,2,1,19,205,09/11/2017,13:08:25,0
103153,12,1,22,178,08/11/2017,00:03:49,0
67754,3,1,19,379,08/11/2017,16:46:04,0
1577,9,1,19,334,09/11/2017,11:34:33,0
109266,3,1,22,211,07/11/2017,16:43:54,0
10335,15,1,17,245,09/11/2017,05:53:54,0
103802,9,1,19,442,08/11/2017,07:55:46,0
7841,15,1,19,278,09/11/2017,02:01:55,0
37892,7,1,8,101,07/11/2017,10:40:08,0
60913,15,1,3,386,09/11/2017,06:11:54,0
17833,3,1,17,280,09/11/2017,05:27:38,0
24985,3,1,19,280,08/11/2017,05:31:08,0
1919,3,1,18,409,08/11/2017,10:42:55,0
15719,2,1,17,477,07/11/2017,18:21:41,0
118103,25,1,13,259,08/11/2017,11:13:32,0
56783,3,1,13,489,08/11/2017,10:17:18,0
121455,12,1,20,259,09/11/2017,15:17:44,0
316621,14,1,20,442,09/11/2017,03:21:31,0
26908,55,1,13,453,08/11/2017,04:12:13,0
14849,3,1,13,379,08/11/2017,22:59:42,0
43026,2,1,1,212,07/11/2017,01:55:59,0
163180,23,1,8,153,08/11/2017,14:23:54,0
75595,2,1,25,205,09/11/2017,15:57:55,0
9581,12,1,23,409,08/11/2017,09:08:21,0
107751,18,1,18,107,08/11/2017,11:21:34,0
106237,36,1,19,110,06/11/2017,17:56:40,0
134405,21,2,2,128,08/11/2017,13:35:48,0
77949,12,1,2,265,07/11/2017,12:49:21,0
35929,18,1,13,121,09/11/2017,09:10:37,0
62145,3,1,17,280,07/11/2017,11:07:42,0
41980,3,1,23,280,09/11/2017,04:44:26,0
106460,11,1,3,137,09/11/2017,01:20:42,0
104811,15,1,20,111,08/11/2017,16:06:45,0
241549,18,1,25,376,08/11/2017,09:16:22,0
36183,15,1,20,245,06/11/2017,22:38:01,0
52010,25,1,19,259,09/11/2017,11:43:56,0
58603,3,1,25,480,08/11/2017,01:35:10,0
46504,6,1,14,125,08/11/2017,12:12:54,0
9916,7,1,22,101,07/11/2017,09:24:22,0
118469,15,1,15,140,08/11/2017,11:55:33,0
60612,3,1,37,280,08/11/2017,05:32:19,0
77761,2,1,10,477,07/11/2017,23:51:34,0
137550,6,1,22,125,09/11/2017,00:42:25,0
102149,3,1,18,205,07/11/2017,13:33:58,0
48282,93,1,18,371,09/11/2017,14:34:57,0
44361,23,1,13,153,08/11/2017,18:53:31,0
69375,14,1,16,134,07/11/2017,21:00:06,0
125222,3,1,49,173,09/11/2017,06:53:18,0
114923,12,1,17,178,08/11/2017,05:25:00,0
52247,6,1,1,125,07/11/2017,02:18:23,0
103731,15,1,15,386,08/11/2017,06:50:06,0
99826,14,1,10,439,07/11/2017,16:50:39,0
87568,12,1,13,174,08/11/2017,00:12:50,0
111159,2,1,19,477,08/11/2017,06:41:38,0
88504,3,1,19,130,08/11/2017,04:56:42,0
6662,3,1,19,424,09/11/2017,03:55:41,0
5348,12,1,19,277,08/11/2017,00:23:16,0
121094,26,1,13,266,08/11/2017,23:33:13,0
108584,3,1,46,280,07/11/2017,05:58:52,0
117132,14,1,15,439,07/11/2017,06:49:36,0
77318,2,1,22,377,08/11/2017,17:55:21,0
55047,13,1,19,477,08/11/2017,01:50:54,0
98294,15,1,35,386,09/11/2017,01:41:00,0
99344,18,1,13,121,07/11/2017,10:21:30,0
15365,12,1,22,259,08/11/2017,07:35:38,0
28565,12,1,13,259,07/11/2017,00:22:08,0
109355,2,1,13,477,09/11/2017,07:22:56,0
6640,12,1,30,259,07/11/2017,07:53:13,0
44051,3,1,18,280,07/11/2017,06:21:10,0
183432,15,1,19,386,07/11/2017,05:58:23,0
94450,14,1,13,134,09/11/2017,11:53:53,0
119222,18,1,19,107,08/11/2017,12:53:35,0
74719,9,1,13,127,08/11/2017,23:27:57,0
315371,12,1,23,340,09/11/2017,07:05:43,0
2965,12,1,22,265,09/11/2017,00:43:41,0
133012,8,1,13,145,07/11/2017,04:24:25,0
92823,2,1,13,469,09/11/2017,13:14:56,0
242003,1,1,13,377,07/11/2017,17:48:10,0
122949,15,1,22,245,09/11/2017,00:58:44,0
108697,2,1,13,477,08/11/2017,04:42:09,0
175348,12,1,14,328,08/11/2017,13:58:00,0
6380,10,1,132,113,07/11/2017,16:01:40,0
8292,150,1,19,110,07/11/2017,01:12:39,0
50747,11,1,19,173,08/11/2017,14:50:38,0
8898,2,1,19,477,07/11/2017,02:20:45,0
112668,9,1,22,215,06/11/2017,16:01:32,0
130321,14,1,3,379,07/11/2017,00:43:43,0
96122,15,1,28,379,07/11/2017,10:01:51,0
83340,6,1,16,125,07/11/2017,04:25:18,0
5676,2,1,10,212,07/11/2017,02:42:25,0
92022,12,2,9,265,09/11/2017,14:32:59,0
102149,12,1,17,178,09/11/2017,11:35:43,0
54910,11,1,9,319,07/11/2017,14:02:14,0
111708,2,1,8,205,08/11/2017,12:50:13,0
50433,18,1,17,107,07/11/2017,14:29:06,0
31987,18,1,13,121,09/11/2017,13:41:17,0
80665,14,1,14,463,08/11/2017,01:26:28,0
77016,15,1,17,430,08/11/2017,00:27:02,0
13634,9,2,32,442,08/11/2017,17:15:28,0
53454,11,1,16,173,09/11/2017,15:12:42,0
198879,15,1,17,111,07/11/2017,08:56:38,0
133119,18,1,40,107,08/11/2017,01:47:43,0
17329,2,1,19,243,09/11/2017,15:36:29,0
95711,1,1,19,17,08/11/2017,22:22:26,0
66240,23,1,19,153,08/11/2017,04:40:42,0
78593,18,1,8,121,07/11/2017,15:18:46,0
92908,20,1,18,259,08/11/2017,12:09:53,0
264053,3,1,22,371,08/11/2017,00:22:35,0
15819,9,1,10,244,09/11/2017,04:44:41,0
152018,12,1,12,328,09/11/2017,13:24:35,0
30587,2,1,9,377,09/11/2017,14:48:35,0
154121,18,1,6,121,07/11/2017,13:39:38,0
60603,3,1,13,137,08/11/2017,15:40:55,0
44615,14,1,19,463,06/11/2017,20:37:45,0
80163,21,1,19,128,06/11/2017,23:41:14,0
35810,28,1,17,135,09/11/2017,15:39:33,0
84008,12,1,10,122,08/11/2017,20:01:21,0
15630,9,1,19,334,09/11/2017,07:25:44,0
93054,64,2,22,459,09/11/2017,01:22:18,0
90133,15,1,11,315,07/11/2017,04:28:27,0
92735,18,2,37,439,07/11/2017,14:15:30,0
176598,14,1,2,463,07/11/2017,13:29:51,0
63760,13,1,17,469,07/11/2017,13:37:25,0
29436,2,1,53,477,07/11/2017,04:09:47,0
32098,3,1,13,280,08/11/2017,05:40:16,0
56745,1,1,6,137,07/11/2017,14:16:24,0
39306,3,1,3,417,07/11/2017,16:23:56,0
5178,3,1,19,280,09/11/2017,06:32:40,0
105475,12,1,10,178,08/11/2017,12:22:34,0
58723,21,1,6,128,07/11/2017,09:36:52,0
11752,12,1,13,205,07/11/2017,14:45:54,0
62930,12,1,18,245,08/11/2017,02:02:59,0
95041,2,1,19,243,09/11/2017,12:31:57,0
171172,3,1,17,280,08/11/2017,07:53:02,0
148911,12,1,19,140,08/11/2017,03:12:15,0
34786,3,1,30,371,07/11/2017,00:36:34,0
187216,15,1,20,386,06/11/2017,17:55:27,0
1748,9,2,22,134,07/11/2017,10:39:04,0
152433,3,1,14,280,07/11/2017,05:23:57,0
17231,36,1,57,224,08/11/2017,11:07:54,0
182843,12,1,17,259,09/11/2017,15:17:30,0
43855,12,1,17,409,09/11/2017,08:40:52,0
26799,23,1,13,153,09/11/2017,13:49:15,0
2759,12,1,13,19,09/11/2017,15:16:33,0
287533,15,2,19,245,08/11/2017,15:24:33,0
76885,15,1,47,430,08/11/2017,21:19:49,0
40879,6,1,18,459,08/11/2017,18:59:37,0
87715,3,1,19,205,08/11/2017,01:33:38,0
108393,26,1,17,477,09/11/2017,13:31:43,0
102999,9,1,13,134,09/11/2017,10:12:37,0
81550,12,1,13,178,09/11/2017,12:54:55,0
323371,83,0,0,171,09/11/2017,10:59:56,0
4831,12,1,13,265,08/11/2017,13:05:14,0
45479,15,1,10,245,06/11/2017,17:27:58,0
44621,18,1,18,107,09/11/2017,15:16:14,0
114235,21,1,3,232,07/11/2017,11:48:26,0
310854,15,1,18,315,09/11/2017,08:01:47,0
174948,21,1,13,128,07/11/2017,02:43:47,0
124871,9,1,19,127,09/11/2017,03:47:33,0
28336,1,1,19,134,09/11/2017,05:58:12,0
99377,3,1,19,489,08/11/2017,07:46:11,0
95546,9,1,13,134,08/11/2017,00:09:35,0
9841,3,1,13,409,09/11/2017,10:53:28,0
61556,12,1,13,19,07/11/2017,05:45:50,0
175837,21,1,19,128,07/11/2017,10:46:40,0
99746,9,1,41,127,09/11/2017,12:11:20,0
336712,9,1,20,489,09/11/2017,11:29:48,0
1640,3,1,13,137,09/11/2017,14:16:21,0
102476,23,1,18,153,09/11/2017,04:37:14,0
85208,1,1,5,153,09/11/2017,12:25:18,0
18493,3,1,6,280,07/11/2017,10:28:12,0
6360,1,1,13,153,09/11/2017,09:08:44,0
5314,15,1,47,245,07/11/2017,11:03:19,0
17321,11,1,27,487,08/11/2017,07:31:12,0
48569,12,1,9,328,07/11/2017,11:34:55,0
89159,39,1,37,213,09/11/2017,11:23:44,0
86841,6,1,18,459,09/11/2017,04:05:22,0
14200,12,1,18,178,08/11/2017,02:57:58,0
114220,9,1,66,134,07/11/2017,16:44:04,0
25377,18,1,19,121,06/11/2017,21:53:52,0
53079,9,1,13,334,08/11/2017,02:24:07,0
154431,12,1,19,245,09/11/2017,04:13:27,0
81502,3,1,22,280,08/11/2017,09:42:04,0
103753,14,1,22,379,08/11/2017,03:34:27,0
95766,14,1,26,467,09/11/2017,01:53:19,0
213563,9,1,25,215,08/11/2017,08:25:59,0
39979,14,1,6,463,07/11/2017,03:19:40,0
185419,18,1,10,107,09/11/2017,12:54:00,0
31817,3,1,13,115,08/11/2017,17:09:30,0
27678,15,1,22,265,09/11/2017,05:18:19,0
84703,12,1,10,265,09/11/2017,10:21:16,0
166127,18,1,19,134,08/11/2017,02:36:14,0
19355,21,1,18,128,08/11/2017,13:27:41,0
149535,24,1,47,105,06/11/2017,16:48:57,0
116066,2,1,32,477,08/11/2017,09:17:43,0
53625,12,1,13,135,07/11/2017,17:41:54,0
32558,7,2,9,101,09/11/2017,08:10:58,0
56063,14,1,18,134,09/11/2017,11:39:37,0
9886,12,1,13,340,08/11/2017,14:18:42,0
33808,15,1,19,386,08/11/2017,08:44:55,0
120669,27,1,19,122,09/11/2017,14:58:29,0
53454,18,1,19,107,08/11/2017,12:45:53,0
97390,13,1,19,477,08/11/2017,07:07:12,0
32639,12,1,9,409,07/11/2017,07:37:43,0
178604,18,1,19,107,09/11/2017,15:14:19,0
66772,3,1,22,280,08/11/2017,03:28:04,0
73101,3,1,19,280,09/11/2017,03:30:32,0
78712,12,1,22,178,08/11/2017,09:23:19,0
39802,14,1,18,134,07/11/2017,03:54:30,0
103241,15,1,13,315,08/11/2017,05:02:25,0
109699,64,1,18,459,07/11/2017,03:12:26,0
23589,11,1,41,319,07/11/2017,14:24:15,0
111414,3,1,14,280,08/11/2017,08:38:55,0
36836,3,1,18,280,09/11/2017,06:01:45,0
32362,21,1,19,128,08/11/2017,09:48:25,0
112806,3,1,17,173,08/11/2017,12:19:23,0
121303,12,1,47,259,09/11/2017,15:01:04,0
57006,3,1,8,280,07/11/2017,14:11:16,0
120848,18,1,6,107,08/11/2017,00:22:26,0
191145,3,1,12,19,07/11/2017,17:54:21,0
75511,12,1,64,328,09/11/2017,14:32:28,0
16811,12,2,19,340,09/11/2017,04:51:35,0
46303,2,1,13,212,07/11/2017,09:24:06,0
258861,12,1,13,178,09/11/2017,13:53:36,0
125517,3,1,17,113,09/11/2017,07:43:44,0
178873,15,1,20,245,07/11/2017,18:21:24,0
38749,4,1,19,101,08/11/2017,03:00:09,0
67168,15,1,10,379,09/11/2017,02:51:39,0
92767,12,1,23,178,07/11/2017,14:57:45,0
10991,15,1,19,315,09/11/2017,00:17:17,0
33762,15,1,14,278,07/11/2017,05:08:30,0
75300,3,1,26,280,07/11/2017,03:57:28,0
269233,15,1,35,315,08/11/2017,06:58:45,0
68800,3,1,16,280,07/11/2017,01:05:50,0
20242,7,1,22,101,09/11/2017,13:03:26,0
180165,12,1,35,259,07/11/2017,13:54:46,0
51864,8,1,26,145,08/11/2017,12:15:49,0
73516,12,1,19,326,09/11/2017,15:21:48,0
17147,2,1,25,477,07/11/2017,07:32:32,0
82794,2,1,3,477,08/11/2017,06:35:27,0
161566,9,1,17,244,09/11/2017,13:40:10,0
73954,8,1,19,145,07/11/2017,18:07:38,0
201158,8,1,8,145,07/11/2017,01:48:54,0
85856,1,1,19,153,08/11/2017,10:46:17,0
115136,14,1,19,379,09/11/2017,14:46:35,0
191880,18,2,11,121,08/11/2017,17:06:35,0
89278,15,1,19,265,08/11/2017,06:41:41,0
106749,6,1,13,459,08/11/2017,03:07:03,0
74244,9,1,20,134,08/11/2017,19:11:41,0
204007,15,1,13,140,09/11/2017,02:05:24,0
100300,2,1,17,477,07/11/2017,05:53:19,0
90612,8,1,13,145,08/11/2017,08:21:56,0
80328,2,1,19,452,07/11/2017,23:58:58,0
17788,13,1,53,477,08/11/2017,00:00:23,0
264978,3,1,13,409,08/11/2017,01:58:28,0
73343,6,1,19,125,08/11/2017,11:25:01,0
160835,25,1,17,259,09/11/2017,11:41:10,0
32201,2,1,19,469,08/11/2017,04:05:37,0
56743,12,1,13,178,08/11/2017,03:57:08,0
120538,12,1,19,140,07/11/2017,01:57:33,0
294760,12,1,14,178,09/11/2017,09:32:36,0
38941,1,1,22,137,09/11/2017,09:21:49,0
191691,3,1,13,421,09/11/2017,06:53:03,0
75007,21,2,42,128,07/11/2017,11:37:12,0
101894,12,1,19,245,08/11/2017,08:50:46,0
1524,18,1,13,107,08/11/2017,12:20:31,0
111967,9,1,20,466,09/11/2017,03:38:52,0
10275,12,1,13,265,07/11/2017,19:09:13,0
105101,9,1,35,258,07/11/2017,01:14:01,0
88833,14,1,13,379,08/11/2017,20:58:49,0
115837,21,1,18,128,07/11/2017,23:26:59,0
10314,3,1,10,130,09/11/2017,01:25:09,0
27415,12,2,9,259,08/11/2017,00:22:22,0
128878,24,1,6,178,07/11/2017,06:13:20,0
91661,24,1,23,105,06/11/2017,17:46:36,0
127992,12,1,19,242,07/11/2017,05:29:54,0
30564,12,1,13,265,07/11/2017,01:11:59,0
127834,12,1,47,265,09/11/2017,04:36:01,0
113335,1,1,19,377,08/11/2017,01:09:12,0
15926,8,1,13,145,09/11/2017,07:22:25,0
53732,11,1,22,325,07/11/2017,08:15:42,0
55034,13,1,6,469,07/11/2017,12:19:50,0
52710,23,1,17,153,09/11/2017,10:17:55,0
71969,2,1,19,452,09/11/2017,01:42:05,0
77563,18,3032,607,107,07/11/2017,09:05:11,0
11505,2,1,13,237,08/11/2017,05:17:05,0
112302,1,1,3,13,09/11/2017,09:36:57,0
25818,2,1,8,205,09/11/2017,08:27:06,0
83461,2,1,37,469,07/11/2017,11:21:03,0
136583,12,2,13,245,08/11/2017,14:19:52,0
73487,3,1,13,409,08/11/2017,09:35:55,0
14777,2,1,13,219,09/11/2017,00:38:18,0
65552,12,1,22,259,08/11/2017,19:20:01,0
2643,2,1,13,219,06/11/2017,23:40:27,0
121111,9,1,20,489,07/11/2017,12:04:15,0
175837,2,1,20,205,07/11/2017,13:36:44,0
22952,12,1,19,178,08/11/2017,08:08:39,0
111025,18,1,41,30,09/11/2017,09:43:50,0
2153,15,1,13,3,09/11/2017,05:29:41,0
161251,15,1,13,245,07/11/2017,11:27:08,0
93587,18,1,19,439,07/11/2017,06:28:15,0
10500,3,1,19,442,09/11/2017,02:33:11,0
98853,3,1,13,280,08/11/2017,12:11:31,0
100677,1,1,13,115,07/11/2017,00:31:25,0
84661,15,1,13,140,08/11/2017,01:47:35,0
36022,3,1,10,280,08/11/2017,07:55:12,0
93054,18,1,9,439,09/11/2017,15:24:22,0
57435,47,1,19,484,09/11/2017,12:09:05,0
68355,6,1,20,459,07/11/2017,01:06:40,0
18940,1,1,13,153,08/11/2017,07:55:39,0
143185,2,1,13,212,07/11/2017,04:03:23,0
43855,2,1,32,477,09/11/2017,08:40:01,0
116614,13,1,15,477,08/11/2017,13:30:14,0
99130,1,1,32,439,09/11/2017,07:42:32,0
91353,26,1,13,121,09/11/2017,10:05:31,0
147615,7,1,22,101,07/11/2017,10:58:01,0
112346,2,1,8,212,07/11/2017,00:45:11,0
